id,value,created_at,updated_at,deleted_at,deleted,transcript_id
51cf0959-5cee-43e6-8dd9-75524ef56de2,"{""id"": ""51cf09595cee43e68dd975524ef56de2"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-06-12T06:13:04Z"", ""duration"": 9, ""spokenBy"": ""cf43f161-4ee3-4c43-bebb-b60bd7875745"", ""createdAt"": ""2019-06-12T06:13:04.303412643Z"", ""deletedAt"": null, ""startTime"": ""2019-06-12T06:12:55Z"", ""updatedAt"": ""2019-06-12T06:13:06.121736515Z"", ""confidence"": 0.74108464, ""recordingId"": ""7b338153e88d4bfb82362cf1269bdbc8"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Was able to add certificate which for developer developer ID legacy."", ""transcriptId"": ""6c06285a-1cc2-4cca-82f6-9dde41b982a5""}",2019-06-12T06:13:04.303Z,2019-06-12T06:13:04.303Z,,false,6c06285a-1cc2-4cca-82f6-9dde41b982a5
25ab5fbe-0673-421c-b43d-794d72e72ca3,"{""id"": ""25ab5fbe0673421cb43d794d72e72ca3"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-06-12T06:18:26Z"", ""duration"": 6, ""spokenBy"": ""2a63729a-1cf3-475b-a34f-dab20d401a3d"", ""createdAt"": ""2019-06-12T06:18:27.206512159Z"", ""deletedAt"": null, ""startTime"": ""2019-06-12T06:18:20Z"", ""updatedAt"": ""2019-06-12T06:18:28.892927696Z"", ""confidence"": 0.7342727, ""recordingId"": ""36640cf900f9478ba7cbd02b49ee2fba"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Yes basically got anything add and anything else nothing think I just."", ""transcriptId"": ""6c06285a-1cc2-4cca-82f6-9dde41b982a5""}",2019-06-12T06:18:27.206Z,2019-06-12T06:18:27.206Z,,false,6c06285a-1cc2-4cca-82f6-9dde41b982a5
0651f3e8-a487-4a91-bfff-d1099cbbfb0a,"{""id"": ""0651f3e8a4874a91bfffd1099cbbfb0a"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-06-12T06:19:30Z"", ""duration"": 4, ""spokenBy"": ""ffd4f9da-147b-4d0e-8889-7e01621ab347"", ""createdAt"": ""2019-06-12T06:19:30.73936174Z"", ""deletedAt"": null, ""startTime"": ""2019-06-12T06:19:26Z"", ""updatedAt"": ""2019-06-12T06:19:33.126304292Z"", ""confidence"": 0.9327564, ""recordingId"": ""4e92fd5c992c49f9ba040db6717fa704"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""So so we had this."", ""transcriptId"": ""6c06285a-1cc2-4cca-82f6-9dde41b982a5""}",2019-06-12T06:19:30.739Z,2019-06-12T06:19:30.739Z,,false,6c06285a-1cc2-4cca-82f6-9dde41b982a5
9b9bb52c-2958-4779-8a8f-d23f21cf58dc,"{""id"": ""9b9bb52c295847798a8fd23f21cf58dc"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-06-12T06:06:29Z"", ""duration"": 3, ""spokenBy"": ""2a63729a-1cf3-475b-a34f-dab20d401a3d"", ""createdAt"": ""2019-06-12T06:06:29.30243671Z"", ""deletedAt"": null, ""startTime"": ""2019-06-12T06:06:26Z"", ""updatedAt"": ""2019-06-12T06:06:31.688846982Z"", ""confidence"": 0.9856648, ""recordingId"": ""ed112bebcb4d4f87a7d9252001a8d48e"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Yeah it is not directly directly depending for."", ""transcriptId"": ""6c06285a-1cc2-4cca-82f6-9dde41b982a5""}",2019-06-12T06:06:29.302Z,2019-06-12T06:06:29.302Z,,false,6c06285a-1cc2-4cca-82f6-9dde41b982a5
6d75a212-b458-4b24-ab87-789d515fbf8a,"{""id"": ""6d75a212b4584b24ab87789d515fbf8a"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-06-12T06:22:31Z"", ""duration"": 18, ""spokenBy"": ""ffd4f9da-147b-4d0e-8889-7e01621ab347"", ""createdAt"": ""2019-06-12T06:51:29.032774432Z"", ""deletedAt"": null, ""startTime"": ""2019-06-12T06:22:13Z"", ""updatedAt"": ""2019-06-12T06:51:50.457117483Z"", ""confidence"": 0.84314644, ""recordingId"": ""e8d19d1ec0364d179bc44fffbfec5b78"", ""transcriber"": ""google_speech_api"", ""languageCode"": ""en-US"", ""originalText"": ""Then we were just taking online on the call was promising and we saw a few errors not with respect to segment failures or these kind of things would be something similar to that. I see it is giving fine art for sometimes the response from mind service."", ""transcriptId"": ""6c06285a-1cc2-4cca-82f6-9dde41b982a5""}",2019-06-12T06:51:29.039Z,2019-06-12T06:51:29.039Z,,false,6c06285a-1cc2-4cca-82f6-9dde41b982a5
016bdb80-7cd2-4dd8-b9e0-47533e0bac88,"{""id"": ""016bdb807cd24dd8b9e047533e0bac88"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-06-12T06:12:41Z"", ""duration"": 30, ""spokenBy"": ""c8e56268-5d5b-43a1-a5d4-c476209228a5"", ""createdAt"": ""2019-06-12T06:51:29.030029912Z"", ""deletedAt"": null, ""startTime"": ""2019-06-12T06:12:11Z"", ""updatedAt"": ""2019-06-12T06:51:50.829364899Z"", ""confidence"": 0.7572799, ""recordingId"": ""5bc19f75929340979c74dd367c070ee9"", ""transcriber"": ""google_speech_api"", ""languageCode"": ""en-US"", ""originalText"": ""And the record inclined one second today. I will do one more PASS testing under at least with the basic functionality. We can should be should be able to push it to production. Maybe we're and we're trying to push a do your production deflected a will try to push this thing along with that and if we think there is anything anything, you know necessary at the USA, you know tweak around we can do it in the next positive."", ""transcriptId"": ""6c06285a-1cc2-4cca-82f6-9dde41b982a5""}",2019-06-12T06:51:29.032Z,2019-06-12T06:51:29.032Z,,false,6c06285a-1cc2-4cca-82f6-9dde41b982a5
68bf2165-0fd8-404a-8b1c-0c6e1426302f,"{""id"": ""68bf21650fd8404a8b1c0c6e1426302f"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-06-12T06:07:09Z"", ""duration"": 40, ""spokenBy"": ""7b20c786-b13e-472b-9c4f-28c556c844d4"", ""createdAt"": ""2019-06-12T06:07:09.990171158Z"", ""deletedAt"": null, ""startTime"": ""2019-06-12T06:06:29Z"", ""updatedAt"": ""2019-06-12T06:07:13.69686805Z"", ""confidence"": 0.9148214, ""recordingId"": ""9cdee0ea63c0498b9d7b0914ab3addb1"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Dependency for Partial, but I'm working on it the functionality. I implemented, but the customer message was is getting difficult up. So with my was able to test even it's an inactive customers but I was not able to a proper message error message saying that okay mean you are far forbidden because you have not active so that type of message. It's getting and ram down a p get where just trying it out multiple things. Okay. Yeah."", ""transcriptId"": ""6c06285a-1cc2-4cca-82f6-9dde41b982a5""}",2019-06-12T06:07:09.990Z,2019-06-12T06:07:09.990Z,,false,6c06285a-1cc2-4cca-82f6-9dde41b982a5
01e39cfc-793e-4dbc-9b5a-b7c05b933a72,"{""id"": ""01e39cfc793e4dbc9b5ab7c05b933a72"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-06-12T06:05:06Z"", ""duration"": 5, ""spokenBy"": ""e5914c1d-363a-4d83-b5ad-a6d1e31b17e5"", ""createdAt"": ""2019-06-12T06:05:06.655474012Z"", ""deletedAt"": null, ""startTime"": ""2019-06-12T06:05:01Z"", ""updatedAt"": ""2019-06-12T06:05:08.016236053Z"", ""confidence"": 0.86030036, ""recordingId"": ""05d95eff936b40c2b9e338b423a5df3b"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""It's all like straightforward for Okay. Okay and you."", ""transcriptId"": ""6c06285a-1cc2-4cca-82f6-9dde41b982a5""}",2019-06-12T06:05:06.655Z,2019-06-12T06:05:06.655Z,,false,6c06285a-1cc2-4cca-82f6-9dde41b982a5
07d45c73-7c6e-4540-adae-4d816fa9acbd,"{""id"": ""07d45c737c6e4540adae4d816fa9acbd"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-06-12T06:05:12Z"", ""duration"": 6, ""spokenBy"": ""2a63729a-1cf3-475b-a34f-dab20d401a3d"", ""createdAt"": ""2019-06-12T06:05:12.181157619Z"", ""deletedAt"": null, ""startTime"": ""2019-06-12T06:05:06Z"", ""updatedAt"": ""2019-06-12T06:05:14.836954685Z"", ""confidence"": 0.92245, ""recordingId"": ""df61156e684a4b238e1c24390fa3f333"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Are you who dependent on the platform for anything or you good."", ""transcriptId"": ""6c06285a-1cc2-4cca-82f6-9dde41b982a5""}",2019-06-12T06:05:12.181Z,2019-06-12T06:05:12.181Z,,false,6c06285a-1cc2-4cca-82f6-9dde41b982a5
fe954601-4895-45c9-9216-57ed79805996,"{""id"": ""fe954601489545c9921657ed79805996"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-06-12T06:05:52Z"", ""duration"": 8, ""spokenBy"": ""2a63729a-1cf3-475b-a34f-dab20d401a3d"", ""createdAt"": ""2019-06-12T06:05:52.371324052Z"", ""deletedAt"": null, ""startTime"": ""2019-06-12T06:05:44Z"", ""updatedAt"": ""2019-06-12T06:05:54.093718171Z"", ""confidence"": 0.8630543, ""recordingId"": ""836952e5586c4b12948e0f9043ca3105"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Close right? So there is one change on the."", ""transcriptId"": ""6c06285a-1cc2-4cca-82f6-9dde41b982a5""}",2019-06-12T06:05:52.375Z,2019-06-12T06:05:52.375Z,,false,6c06285a-1cc2-4cca-82f6-9dde41b982a5
