id,text,segment_id,score,recording_id
ab757004-43b0-4c9c-93a3-8f4ac0cba372,And basically then we get call so we really be define what this Facebook script and just type in something like is building the that will be creating in new dynamic called and it's created directory.,f7d77192a3494f80b913515f2029a3c3,13.082509823816142,1c3a1d2257a44457a146682ab99feed4
8dfefe08-bfa5-49c6-b7af-62d9372724c8,"No engineers so you about this web thing we have able what it is on the right video first basic web nothing or there each of messages that since using response from event from a party service degree, but also sometimes you subscribe built a and by used to send down what are so closer to related then some like focus are called API guys because they saw very important problem being got great the user like and I request from an API will get response a common use live we getting interested and that the changes. So managing right application that you API and your replacing information about the for given project part implication is you want to perform some action what's those new commit on that project get that's not very hard to simply use their API and then you get a list of all or a given project. So in the page you could record to pa*s of the last kind and right over our over over again and just keep checking to see that has changes if it does change then you you know there's a new commit I think as showed there's a couple comes day this number one is complete a bandwidth instead of resources, but number two. This is more important is that has a account on the number eight request you can so now into the world of web or you could just tell it of what doesn't you do committed sunday in this way is so bandwidth old and there's no get so using this web sensor service which is the URL to send my response I if do need is a place to send a web of two. So the my the test. So I can go settings from my go to I can add any complete web touch url. I can say give it to me and Json send me the whole event at a web created we have something ping payload. We see this we could get one post request from Github with all we'll phrase get shopmatic. So just these some what ready do now is just to make a made on this on a testing. So two events you'll see what I push this and go back.",7a343c5dd53447d896cf00d9c9b35ef7,1.3936128422149507,ca310ebfe0e04a06819aae5a25eb1a26
ffe4e8ba-01fb-4ea4-b4bb-9f749fc63d6d,"Really what that means is that I'm going to feed the cluster Services a specific configuration. It will be up to the cluster services to go out and run that configuration. You might have destruction. One of the main components that I do want to call out. Is this API that sits in front of all this the API services. So that is one building block of a system the second building block of the system is this thing called a work? And what is a worker? Well, the worker is really just a container host the one thing unique about a worker or the container hosting a kubernetes environment is that it does have this couplet process that runs which is responsible for communicating with yes. You guessed it the kubernetes cluster services. And so this whole thing the cluster Services the workers themselves, that's what makes up this whole gold kubernetes cluster. So let's talk about the use case here. So in this case, what we want to do is we want to feed this the configuration so the desired state so to speak exist here in a deployment Mo file, so here I'm just going. Application one document and inside this there could be a whole bunch of configuration information. I am going to bypass quite a bit of a regular talk about two fundamental pieces the first of which in this employment file.",6280aa90cae941b599df2030f3bc81fa,1.405003137366977,6f64a132121f44ed9804eabf48d1820c
8d64c7c5-4582-412f-a5ae-a70480825f20,"Second stage is joining as well, let's see if this is successful and I will see that this job and actually failed and this is because in we created it from file and completed everything was sort of a thrown away. So we need to find a way to make this to separate jobs with one an hour and the what in case is artifacts we need to require some so that first can create address and you for the or to out tool. So we'll have to continue be all integration or good and that you will see that after the script we need to add something.",18287c267a1241a0a1639ac02655dbaf,1.425002266470662,e7918beb66b749aab33f8a4b83768588
119c7cb1-9a7c-4f3e-9b6d-4fe822445ad4,"The second stage is running as well. Let's see if this is successful. Now you see that this job actually fail and this is because in the previous chop, we created some files and after the job completed everything was sort of a throwaway. So we need to find a way to make this two separate jobs communicate with one another and the magic word in this case is artifacts. We need to Define some artifact so that the first job can create those artifacts and you form the next job or any other job in between two XSL those artifacts. So we'll have to change without immigration order to do that and it will step you will see that after the script we need to add something like artifacts.",eff963578c314b32b59c04a768b7da4c,1.436398900624422,e7918beb66b749aab33f8a4b83768588
d8c7f29f-7bec-44ae-9fbc-76b16e9a1950,"And this will be the test. This is a second stage that we're running then again, we'll have script in this case. So see thing just demonstrate significant multiple commands and gonna use the test command. I gonna to test that PC to five in product sixty okay. So when we have this let's commit and see this like that we have here.",176ee64440fd417ab509c1c5d51e7b3b,1.4563809950147457,2c2eb3ffd99d45a6a53a2bf86d31cc97
c161ddd7-75f8-4238-85c3-bd3fce18575c,"We can see we had that we define where artifacts should be located and the only event that we are interested in our inside folder. So this should probably enough to resource our effect so that committee changes again now is the pipeline platform. You can also easily the contact that trigger running if you go on on this left on or the pipelines. It will see now that this current running on the first and these a two complete but so it will get to the stage at that probably and I want just refresh the base and so that both things are successful. Let's go into to the test one to see exactly what happened there and you'll see that this command has being displayed here it has being held itself steps as well and you to affect that are being downloaded and this makes this our department what this is a very, very simple pipeline, but the can build about it and it is really get into more complicated things if we need think of watching store and give it a thumbs that interesting to have last something you interesting in more make sure is subscribe because I the next experience for you. You signed.",816e00b6ee574113a153d44dedc88caa,1.4582705896019386,610bd5e9b4c5413faf923a4295bff908
f8d4342b-0113-446b-90e8-4393297c4eaa,Really what that means I'm going to seen the cluster services configuration and will be not to the cluster services to go out and run that configuration you might your infrastructure. What the main I do what I call out is this API system for all these API services. So there is more really we in the rhythm the second building water of this system is this call and what is a well not very really just a container host the one thing you unique about a worker or the happy environment is it does have this Google process that runs which is responsible for communicating with yes that the cluster services and so this whole thing the services the word themselves that's what based up global so let's talk about the feature. So in this case what we want to do is the configuration. So the desire. So to speak exist here in the deployments. So here just going to go an application one and inside this there to be a whole bunch of configuration information. I am go bypa*s house client a bit of the brand talk production front of the the first which is this deploy a file.,bb7fd907c82040bdb8ccf0e176c710ff,1.4674595396674834,6f64a132121f44ed9804eabf48d1820c
59c5183a-0000-4a65-b40e-5a476612d850,Is words just to check their data there something one one down you think that's a important allows I to look at it by working we talking these design and the specific specific there is a dump and it drops in the blue and then trying to to not us thing that we it. So already we build the fields are there.,1af54274b1a24cc292ec65642516f936,1.4712940815939155,d7674ed7ed3b49fca8bddb7b17ec1310
58af16a6-2976-4874-92c1-9743c125b476,"Don't imagine there's so you've heard about this webhooks thing but you have no clue what it is. Well, you're on the right video its most basic form. What books are nothing more than HTTP messages that are sent usually responds to some event from a third party service that you're using. They're also sometimes used to describe pre-built API endpoints you can use to send down to web Hooks and apis are so closely related that sometimes what books are called reverse apis because they saw a very important problem with apis for apis the user like you and I will request data from an API and the API will give a response a common use case for web hooks that when you're interested in data changes. So imagine you're running an application that uses the GitHub API and you're requesting information about the commits for a given project program location is you want to perform some action. Once there's a new commit on that project getting that data from getting that's not very hard to Simply use their API and then you get a list of all the commits for a given project. So in this case, you could record the hash of the last commit and then just run it over and over and over and over again and just keep checking to see if that has changes if it does change then, you know, there's a new commit and then your application.Fond as it should there's a couple problems doing it this way. Number one is complete waste of bandwidth and server resources and but number two and this is more important is that GitHub has a cap on the number of API requests you can do. So now enter the world of web hooks where you can just tell git Hub when there's a new commit send a message in this way is no extra bandwidth moisture API calls and there's no limits are going to hit. So I'm using this web of tests or service which gives me a URL to send my response to one thing you do need is a place to send the web to so in my case is just the tester so I can simply go to settings for my repo go to web hooks. I can add a new web hook. You can paste that with book test URL I can say give it to me in Json navel is sell send me the whole push event at a web hook and we're done so you can set the hook is created. We sent a pink payload. So come on over to our tester. We see that we did get one post request from GitHub with a little phrase here in the Bookshop. So I'll just delete these so now we're going to do now is just make a commit on this on this test Rico I have so I'll just do event you'll see when I push this and go. ",391f673cf5234f3c96cc6330283174a5,1.4835867081123806,ca310ebfe0e04a06819aae5a25eb1a26
